YEAR,CO2
1980,338.15
1981,339.56
1982,340.79
1983,342.15
1984,343.67
1985,345.19
1986,346.79
1987,348.61
1988,350.56
1989,352.30
1990,353.71
1991,354.85
1992,355.80
1993,356.80
1994,358.12
1995,359.72
1996,361.38
1997,363.18
1998,365.19
1999,367.12
2000,368.79
2001,370.48
2002,372.47
2003,374.61
2004,376.70
2005,378.71
2006,380.91
2007,383.35
2008,385.89
2009,388.54
2010,391.29
2011,394.15
2012,397.11
2013,400.18
2014,403.35
2015,406.61
2016,409.97
2017,413.42
2018,416.95
2019,420.56
2020,424.24
2021,427.98
2022,431.79
2023,435.64
2024,439.54
2025,443.49
2026,447.47
2027,451.49
2028,455.54
2029,459.64
2030,463.78
2031,467.97
2032,472.22
2033,476.54
2034,480.93
2035,485.42
2036,490.01
2037,494.71
2038,499.54
2039,504.52
2040,509.64
2041,514.92
2042,520.37
2043,526.00
2044,531.81
2045,537.82
2046,544.01
2047,550.40
2048,556.97
2049,563.74
2050,570.69
2051,577.82
2052,585.12
2053,592.59
2054,600.21
2055,607.98
2056,615.88
2057,623.92
2058,632.09
2059,640.37
2060,648.77
2061,657.30
2062,665.95
2063,674.73
2064,683.65
2065,692.73
2066,701.98
2067,711.40
2068,721.02
2069,730.86
2070,740.92
2071,751.22
2072,761.78
2073,772.59
2074,783.66
2075,795.00
2076,806.61
2077,818.46
2078,830.57
2079,842.90
2080,855.46
